period_init,duration,decline_gdp,decline_industry,decline_android,decline_ios,gdp_pc_init,industria_init,android_init,ios_init
2009-04-01,4,-0.09834845291327099,0.09482791834308446,7,-0.4823727325921592,0.0014759463731768233,13626525,0.043333333333333335,45.57333333333333
2015-04-01,7,-0.22753298903909336,0.11177170261241387,0.24907937806873992,-0.19946380697050958,0.0016813753636053274,13178425,65.17333333333333,12.433333333333335
2018-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-01,3,-0.1327618004341673,0.01329159094663801,8.75,-0.2764019811471481,2.2713114839528997e-5,7566250,0.06666666666666667,62.589999999999996
2014-07-01,1,-0.019381796136277885,0.0037994934008798165,0.08188916396876778,-0.0638953040800615,0.0013942150761458022,9263735,70.01333333333334,12.99
2009-01-01,3,-0.13147048601610756,-0.0017222625090644872,124.63636363636363,0.03409871455205593,0.011560634520892739,57918000,0.03666666666666667,67.94
2009-01-01,3,-0.17074024457414705,-0.05654714894961299,24.857142857142858,-0.12465430016863399,0.007540880269150141,13295100,0.023333333333333334,49.416666666666664
2010-04-01,14,-0.9383266970721174,-0.0010957819536751012,67.06048387096773,-0.2843789607097593,0.0078759590956129,12251525,0.8266666666666667,42.080000000000005
2016-01-01,1,-0.006167587023370835,0.007939292920431607,0.002876153681047322,0.006603384234419973,0.006141984694393473,12538900,77.65,16.153333333333336
2009-01-01,5,-0.3385692001521905,0.06417673079473452,25.76470588235294,0.07936381074168763,0.026890282401902024,4675020,0.05666666666666667,41.70666666666667
2010-10-01,1,-0.028437347403762914,0.00921338261211413,0.33353317346123057,0.08253323485967523,0.02832924328993614,5068442.5,16.680000000000003,36.10666666666666
2012-01-01,4,-0.08159694337711665,-0.050354531465296115,0.5100502512562812,-0.28486006145668963,0.025852657123968014,4971350,38.473333333333336,40.13666666666666
2014-01-01,1,-0.006236534409176819,-0.002560323668844622,0.030258264989047934,-0.026007625272331136,0.025516657252714625,4461350,65.43666666666667,24.48
2009-01-01,3,-0.12437445699921068,0.15510449720976038,7.599999999999998,0.16866585067319462,2.374711752961402,16450200,0.05000000000000001,40.85
2016-10-01,2,-0.030238380664855846,0.020320136362799612,0.014860353391417558,-0.04792079207920785,3.052061428882635,23085475,81.87333333333333,16.833333333333332
2009-01-01,4,-0.13291420779095486,0.045706922150320795,110.375,0.053092026178709784,0.2045806347369344,5354550,0.02666666666666667,49.913333333333334
2010-07-01,3,-0.06699690168903305,0.014321300091657774,0.74884174591563,-0.012197375716133774,0.19020113052047924,5662370,13.670000000000002,54.10999999999999
2009-01-01,4,-0.224583727201225,-0.06041986162653212,102.52941176470588,0.016504899892155755,0.12138294812977626,6833680,0.05666666666666667,71.08999999999999
2012-10-01,1,-0.004216147684631633,-0.009216094716413381,-0.07966497857421118,0.04599050312116493,0.1300004433706857,7096552.5,34.22666666666667,62.47666666666666
2009-01-01,4,-0.13090237696574292,-0.024381145502544332,13.983333333333334,-0.5309241826095759,0.003110287074816774,10454800,0.19999999999999998,32.93
2009-01-01,4,-0.3421693189753796,0.010240711469977626,32.1,-0.18344620015048907,0.00610081439984336,2100440,0.06666666666666667,22.150000000000002
2011-10-01,7,-0.15826123247492063,0.03687459444018959,0.4287170426746396,-0.06997227206002299,0.006497826662255569,2223007.5,49.053333333333335,20.436666666666667
2009-01-01,3,-0.10591663854534183,2.2774642516298904e-4,70.99999999999999,0.16914285714285726,0.15100776648506167,9912340,0.013333333333333334,2.9166666666666665
2012-07-01,1,-0.009161628704112523,0.0016587035444393106,0.10293568387241359,-0.024047186932849463,0.17265574825524974,9168305,44.623333333333335,7.346666666666667
2014-07-01,1,-0.0399843744563384,-0.005116579750754524,0.028403525954946218,-0.03869271224643134,0.1756344786110046,9250320,71.47,8.873333333333333
2009-01-01,3,-0.07397352416389236,0.05951909932406663,16.125,-0.35767332901360704,0.00533828486136595,422083,0.05333333333333334,66.87666666666667
2009-01-01,1,-0.050019614242216015,0.021887030475055358,-0.84375,0.029798260225800455,0.037666128420901245,65952300,0.10666666666666667,18.01
2009-01-01,2,-0.1473208400666648,0.0474907122217636,13.25,-0.16249041165942224,0.09423708357330188,12597200,0.09333333333333334,78.22000000000001
2019-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-04-01,1,-0.06657557375333667,0.026331909072802695,0.7368421052631575,-0.04327895375488744,0.07198043675848989,1995772.5,0.06333333333333334,24.723333333333333
2009-01-01,3,-0.22942246496341934,0.03026560290738156,21.428571428571427,-0.1418964357767316,0.009889753078470481,90032900,0.04666666666666667,54.52333333333333
2011-10-01,12,-0.2555868869460509,-0.0893134716195566,1.431279620853081,-0.37515330784214707,0.010545648017846996,96901675,26.726666666666663,46.20333333333334
2009-01-01,6,-0.47246055016831856,0.00843648352295312,86.68571428571428,-0.041165925237368284,2.005699279039161,339715,0.11666666666666665,50.20333333333334
2009-01-01,5,-0.66029645024721,0.001399982635874375,50.12499999999999,-0.4553609937030967,0.003103785755961497,2303600,0.02666666666666667,38.64333333333333
2009-01-01,3,-0.19917194432030594,-0.007377933948831017,4.857142857142858,-0.430479249429465,0.12452374465871437,13062600,0.37333333333333335,39.43666666666667
2012-04-01,3,-0.01993313647575934,0.01090909090909098,0.3170611439842208,-0.19236100415832436,0.14005742896255285,13571250,47.32,21.643333333333334
2009-01-01,3,-0.04566086854714335,0.07504802438527469,9,-0.2558991981672393,0.042698060396360454,75586600,0.006666666666666667,14.549999999999999
2009-01-01,7,-0.3080896293151154,-0.05756972111553782,653.5714285714284,0.0709153389565762,0.007676306815414152,25100000,0.023333333333333334,21.34
